# {"t_start": 1704792580.1884503, "env_id": "PctDiscrete-v0"} 
r,l,t
7.34,37,4887.725961
7.93,31,4896.400816
7.0,30,4904.886992
6.61,20,4910.523252
5.53,18,4915.842217
7.29,30,4924.091197
5.45,19,4929.754724
3.13,17,4934.678869
8.15,33,4943.978568
6.77,29,4952.682534
6.1,26,4960.660701
4.73,16,4965.260776
5.71,26,4972.617184
5.8,28,4980.760245
4.77,23,4987.731376
5.14,29,4996.071527
6.48,27,5004.144588
5.98,23,5010.771581
6.63,29,5018.887302
5.45,22,5025.075106
5.47,20,5030.859521
5.85,19,5036.183487
4.36,21,5042.288371
6.82,28,5050.045986
6.02,22,5056.551118
4.77,17,5061.5994
6.13,28,5069.781517
5.36,17,5074.697398
5.72,22,5081.790973
7.22,33,5091.064056
6.91,24,5097.621468
4.17,13,5101.255408
4.88,25,5108.455901
6.36,27,5116.726683
7.16,31,5125.569208
5.18,20,5131.160778
5.7,28,5139.187492
5.76,25,5146.301366
7.08,30,5155.205272
6.58,27,5162.984038
6.06,18,5167.895741
7.31,22,5173.789907
5.98,24,5180.569201
7.04,23,5187.086175
7.43,26,5194.664586
5.16,24,5201.634024
7.6,43,5214.110996
6.18,29,5222.46463
7.03,28,5230.523866
6.16,29,5239.111052
7.22,25,5246.247036
6.47,18,5251.730913
4.2,16,5256.56109
6.39,30,5265.236365
5.53,23,5271.856333
5.28,19,5277.424471
7.8,28,5285.711883
5.79,22,5292.610705
6.59,26,5299.758252
7.98,23,5306.249323
6.33,30,5315.07319
5.45,24,5322.208274
6.39,17,5327.047333
5.76,27,5335.02467
7.24,37,5345.466387
6.51,26,5353.300564
6.42,24,5359.968811
6.82,25,5367.447927
5.93,28,5375.852201
5.54,18,5381.279716
7.62,28,5389.484852
7.61,31,5398.427337
7.62,31,5407.736705
5.12,19,5413.317281
7.29,22,5419.529396
7.05,26,5427.312578
6.84,32,5436.587512
6.71,28,5444.756445
4.59,12,5448.299199
